AoA:,LC1:,LC2:,LC3:,Calib
0,0.134,-0.455,0.056,7
2,0.046,-0.411,-0.003
4,0.098,-0.411,0.057
6,0.17,-0.448,0.137
8,0.257,-0.484,0.233
10,0.349,-0.509,0.341
12,0.462,-0.507,0.459
14,0.579,-0.479,0.578
16,0.672,-0.449,0.682
18,0.752,-0.439,0.792
20,0.845,-0.432,0.906
22,0.856,-0.459,0.953
24,0.873,-0.504,1.033
26,0.791,-0.553,1.004
28,0.772,-0.594,1.024
30,0.768,-0.655,1.034
32,0.762,-0.679,1.038
34,0.764,-0.736,1.081
36,0.771,-0.784,1.103
38,0.762,-0.846,1.126
40,0.761,-0.908,1.143