AoA:,LC1:,LC2:,LC3:
0,0.15885,0.3168,-0.0444
2,0.1721,0.3166,-0.03145
4,0.1867,0.31435,-0.01815
6,0.1999,0.31005,-0.0049
8,0.2146,0.30435,0.0079
10,0.22885,0.2997,0.02075
12,0.24325,0.2966,0.0341
14,0.2563,0.2897,0.0463
16,0.2714,0.28495,0.05945
18,0.285,0.27915,0.07265
20,0.29895,0.27255,0.0855
22,0.31245,0.2642,0.09769
24,0.3259,0.25665,0.11015
26,0.33945,0.2474,0.1227
28,0.35285,0.2391,0.13515
30,0.3659,0.2295,0.1463
32,0.3791,0.2192,0.15835
34,0.3919,0.2091,0.1703
36,0.4046,0.1974,0.1815
38,0.4171,0.1852,0.1944
40,0.42945,0.172,0.20525